Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BSGM,Biosig Technologies Inc,Healthcare,Medical Devices,USA,172510000.0,,6.32,-0.09970000000000001,471632.0
BSII,Black Spade Acquisition II Co,Financial,Shell Companies,Hong Kong,170490000.0,1036.87,8.92,-0.08070000000000001,36484.0
BSL,Blackstone Senior Floating Rate 2027 Term Fund,Financial,Closed-End Fund - Debt,USA,184690000.0,9.93,14.19,0.0032,9193.0
BTA,BlackRock Long-Term Municipal Advantage Trust,Financial,Closed-End Fund - Debt,USA,121540000.0,15.59,9.04,0.0015,13259.0
BTCS,BTCS Inc,Financial,Capital Markets,USA,59280000.0,,2.81,0.0369,334037.0
BTMD,biote Corp,Healthcare,Medical Care Facilities,USA,138620000.0,5.92,3.62,0.0226,13934.0
BTOC,Armlogi Holding Corp,Industrials,Integrated Freight & Logistics,USA,51800000.0,,1.23,0.0513,38188.0
BVFL,BV Financial Inc,Financial,Banks - Regional,USA,162200000.0,14.48,15.4,0.0069,4626.0
BW,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,87390000.0,,0.89,0.1174,2363387.0
BWAY,Brainsway Ltd ADR,Healthcare,Medical Devices,Israel,191820000.0,51.31,10.16,-0.0059,6063.0
BWG,BrandywineGLOBAL - Global Income Opportunities Fund Inc,Financial,Closed-End Fund - Debt,USA,136180000.0,4.58,8.11,0.0062,63359.0
BWMX,Betterware de Mexico S.A.P.I. de C.V,Consumer Cyclical,Specialty Retail,Mexico,290320000.0,9.68,7.78,0.0143,34658.0
BYFC,Broadway Financial Corp,Financial,Banks - Regional,USA,60240000.0,,6.53,0.0276,205.0
BYM,BlackRock Municipal Income Quality Trust,Financial,Closed-End Fund - Debt,USA,268880000.0,54.63,10.38,-0.001,69606.0
BYND,Beyond Meat Inc,Consumer Defensive,Packaged Foods,USA,246620000.0,,3.22,0.037000000000000005,1260880.0
BYSI,BeyondSpring Inc,Healthcare,Biotechnology,USA,69750000.0,,1.73,0.0613,2657.0
BZAI,Blaize Holdings Inc,Technology,Software - Application,USA,220660000.0,,2.17,0.069,165368.0
BZFD,BuzzFeed Inc,Communication Services,Internet Content & Information,USA,83240000.0,,2.16,0.005,60399.0
BZUN,Baozun Inc ADR,Consumer Cyclical,Internet Retail,China,152600000.0,,2.86,-0.0032,47034.0
CAAS,China Automotive Systems Inc,Consumer Cyclical,Auto Parts,China,126420000.0,4.39,4.19,-0.0141,6790.0
CABA,Cabaletta Bio Inc,Healthcare,Biotechnology,USA,108590000.0,,2.14,0.0388,1209819.0
CADL,Candel Therapeutics Inc,Healthcare,Biotechnology,USA,297100000.0,,5.93,0.0608,283072.0
